ano,id_proposicao,id_votacao,id_parlamentar,voto,partido,casa
2019,129807,5946,5982,1,CIDADANIA,senado
2019,129807,5946,5718,1,CIDADANIA,senado
2019,129807,5946,5942,1,CIDADANIA,senado
2019,129807,5946,470,1,DEM,senado
2019,129807,5946,3830,4,DEM,senado
2019,129807,5946,4531,1,DEM,senado
2019,129807,5946,5422,0,DEM,senado
2019,129807,5946,1023,0,DEM,senado
2019,129807,5946,5732,1,DEM,senado
2019,129807,5946,475,1,MDB,senado
2019,129807,5946,5537,1,MDB,senado
2019,129807,5946,4994,1,MDB,senado
2019,129807,5946,3777,1,MDB,senado
2019,129807,5946,5540,1,MDB,senado
2019,129807,5946,35,0,MDB,senado
2019,129807,5946,4545,1,MDB,senado
2019,129807,5946,3361,0,MDB,senado
2019,129807,5946,5585,1,MDB,senado
2019,129807,5946,742,1,MDB,senado
2019,129807,5946,285,1,MDB,senado
2019,129807,5946,70,1,MDB,senado
2019,129807,5946,5527,1,MDB,senado
2019,129807,5946,4981,1,PDT,senado
2019,129807,5946,5973,1,PDT,senado
2019,129807,5946,1249,1,PDT,senado
2019,129807,5946,5411,1,PDT,senado
2019,129807,5946,5350,1,PL,senado
2019,129807,5946,1173,1,PL,senado
2019,129807,5946,945,1,PODEMOS,senado
2019,129807,5946,5976,1,PODEMOS,senado
2019,129807,5946,5531,1,PODEMOS,senado
2019,129807,5946,5533,1,PODEMOS,senado
2019,129807,5946,5924,1,PODEMOS,senado
2019,129807,5946,5322,0,PODEMOS,senado
2019,129807,5946,2331,1,PODEMOS,senado
2019,129807,5946,5959,1,PODEMOS,senado
2019,129807,5946,739,1,PP,senado
2019,129807,5946,5998,0,PP,senado
2019,129807,5946,22,1,PP,senado
2019,129807,5946,1186,1,PP,senado
2019,129807,5946,5557,1,PP,senado
2019,129807,5946,5899,1,PP,senado
2019,129807,5946,6027,1,PRB,senado
2019,129807,5946,4525,0,PROS,senado
2019,129807,5946,5535,1,PROS,senado
2019,129807,5946,5783,1,PROS,senado
2019,129807,5946,5895,1,PSB,senado
2019,129807,5946,5979,1,PSB,senado
2019,129807,5946,5748,1,PSB,senado
2019,129807,5946,3806,1,PSC,senado
2019,129807,5946,5967,1,PSD,senado
2019,129807,5946,751,1,PSD,senado
2019,129807,5946,5990,1,PSD,senado
2019,129807,5946,5385,1,PSD,senado
2019,129807,5946,5926,1,PSD,senado
2019,129807,5946,5985,1,PSD,senado
2019,129807,5946,5525,1,PSD,senado
2019,129807,5946,5523,1,PSD,senado
2019,129807,5946,4560,1,PSD,senado
2019,129807,5946,5529,1,PSDB,senado
2019,129807,5946,4770,1,PSDB,senado
2019,129807,5946,90,1,PSDB,senado
2019,129807,5946,5376,0,PSDB,senado
2019,129807,5946,5502,1,PSDB,senado
2019,129807,5946,677,1,PSDB,senado
2019,129807,5946,5905,1,PSDB,senado
2019,129807,5946,3396,1,PSDB,senado
2019,129807,5946,5894,1,PSL,senado
2019,129807,5946,5929,1,PSL,senado
2019,129807,5946,5666,1,PSL,senado
2019,129807,5946,5988,0,PSL,senado
2019,129807,5946,5008,1,PT,senado
2019,129807,5946,581,0,PT,senado
2019,129807,5946,5627,1,PT,senado
2019,129807,5946,825,1,PT,senado
2019,129807,5946,374,1,PT,senado
2019,129807,5946,5352,1,PT,senado
2019,129807,5946,5953,1,REDE,senado
2019,129807,5946,345,1,REDE,senado
2019,129807,5946,5012,1,REDE,senado
2019,129807,5946,5236,1,SPARTIDO,senado
2019,135603,5947,5982,1,CIDADANIA,senado
2019,135603,5947,5718,1,CIDADANIA,senado
2019,135603,5947,5942,1,CIDADANIA,senado
2019,135603,5947,470,1,DEM,senado
2019,135603,5947,3830,4,DEM,senado
2019,135603,5947,4531,1,DEM,senado
2019,135603,5947,5422,0,DEM,senado
2019,135603,5947,1023,1,DEM,senado
2019,135603,5947,5732,1,DEM,senado
2019,135603,5947,475,1,MDB,senado
2019,135603,5947,5537,1,MDB,senado
2019,135603,5947,4994,1,MDB,senado
2019,135603,5947,3777,1,MDB,senado
2019,135603,5947,5540,1,MDB,senado
2019,135603,5947,35,0,MDB,senado
2019,135603,5947,4545,1,MDB,senado
2019,135603,5947,3361,1,MDB,senado
2019,135603,5947,5585,1,MDB,senado
2019,135603,5947,742,1,MDB,senado
2019,135603,5947,285,0,MDB,senado
2019,135603,5947,70,1,MDB,senado
2019,135603,5947,5527,1,MDB,senado
2019,135603,5947,4981,1,PDT,senado
2019,135603,5947,5973,1,PDT,senado
2019,135603,5947,1249,1,PDT,senado
2019,135603,5947,5411,-1,PDT,senado
2019,135603,5947,5350,1,PL,senado
2019,135603,5947,1173,1,PL,senado
2019,135603,5947,945,1,PODEMOS,senado
2019,135603,5947,5976,1,PODEMOS,senado
2019,135603,5947,5531,1,PODEMOS,senado
2019,135603,5947,5533,1,PODEMOS,senado
2019,135603,5947,5924,1,PODEMOS,senado
2019,135603,5947,5322,1,PODEMOS,senado
2019,135603,5947,2331,1,PODEMOS,senado
2019,135603,5947,5959,1,PODEMOS,senado
2019,135603,5947,739,1,PP,senado
2019,135603,5947,5998,0,PP,senado
2019,135603,5947,22,1,PP,senado
2019,135603,5947,1186,1,PP,senado
2019,135603,5947,5557,0,PP,senado
2019,135603,5947,5899,-1,PP,senado
2019,135603,5947,6027,1,PRB,senado
2019,135603,5947,4525,0,PROS,senado
2019,135603,5947,5535,1,PROS,senado
2019,135603,5947,5783,-1,PROS,senado
2019,135603,5947,5895,-1,PSB,senado
2019,135603,5947,5979,1,PSB,senado
2019,135603,5947,5748,1,PSB,senado
2019,135603,5947,3806,1,PSC,senado
2019,135603,5947,5967,1,PSD,senado
2019,135603,5947,751,1,PSD,senado
2019,135603,5947,5990,1,PSD,senado
