id_votacao,id_partido,voto
1168392211,37903,2
1168392211,36899,2
1168392211,36845,2
1168392211,36844,2
1168392211,36837,2
1168392211,37906,2
1168392211,36834,-1
1168392211,36832,2
1168392211,36815,2
1168392211,36835,2
1168392211,36769,-1
1168392211,36786,2
1168392211,37904,-1
1168392211,36896,2
1168392211,36839,2
1168392211,36763,2
1168392211,36779,2
1168392211,36833,-1
1168392211,37905,-1
1168392211,37901,-1
1168392211,36898,-1
1168392211,37907,-1
1168392211,36851,-1
1168392211,36801,-1
1168392211,36886,2
1168392211,1,-1
1168392211,2,2
1168392211,3,2
1168391926,37903,2
1168391926,36899,2
1168391926,36845,2
1168391926,36844,2
1168391926,36837,-1
1168391926,37906,2
1168391926,36834,-1
1168391926,36832,2
1168391926,36815,-1
1168391926,36835,-1
1168391926,36769,-1
1168391926,36786,2
1168391926,37904,-1
1168391926,36839,2
1168391926,36763,-1
1168391926,36779,2
1168391926,36833,-1
1168391926,37905,-1
1168391926,37901,-1
1168391926,36898,-1
1168391926,37907,-1
1168391926,36851,-1
1168391926,36886,2
1168391926,2,2
1169231719,37903,1
1169231719,36899,1
1169231719,36845,1
1169231719,36844,1
1169231719,36837,-1
1169231719,37906,1
1169231719,36834,1
1169231719,36832,1
1169231719,36835,1
1169231719,36852,1
1169231719,36769,1
1169231719,36786,1
1169231719,37904,1
1169231719,36839,1
1169231719,36763,1
1169231719,36833,-1
1169231719,37905,1
1169231719,36779,1
1169231719,37901,-1
1169231719,36851,1
1169231719,1,1
1169231719,2,1
1169231943,37903,-1
1169231943,36899,-1
1169231943,36845,-1
1169231943,36844,1
1169231943,36837,-1
1169231943,37906,-1
1169231943,36834,-1
1169231943,36832,1
1169231943,36835,-1
1169231943,36852,-1
1169231943,36769,-1
1169231943,36786,1
1169231943,37904,-1
1169231943,36896,5
1169231943,36839,1
1169231943,36833,1
1169231943,37905,1
1169231943,36779,1
1169231943,37901,1
1169231943,36851,-1
1169231943,1,-1
1169231943,2,1
1169231943,3,1
1169242027,37903,1
1169242027,36899,1
1169242027,36845,1
1169242027,36844,-1
1169242027,36837,-1
1169242027,37906,1
1169242027,36834,1
1169242027,36832,-1
1169242027,36835,1
1169242027,36852,-1
1169242027,36769,1
1169242027,36786,-1
1169242027,37904,-1
1169242027,36839,-1
1169242027,36833,-1
1169242027,37905,-1
1169242027,36779,-1
1169242027,37901,-1
1169242027,36851,-1
1169242055,37903,-1
1169242055,36899,-1
1169242055,36845,-1
1169242055,36844,1
1169242055,36837,1
1169242055,37906,-1
1169242055,36834,-1
1169242055,36832,1
1169242055,36835,1
1169242055,36852,1
1169242055,36769,-1
1169242055,36786,1
1169242055,37904,-1
1169242055,36839,1
1169242055,36763,-1
1169242055,36833,-1
1169242055,37905,1
1169242055,36779,1
1169242055,37901,1
1169242055,36851,1
1169242055,1,-1
1169242055,2,1
1169242055,3,1
1169281834,37903,1
1169281834,36899,1
1169281834,36845,1
1169281834,36844,-1
1169281834,36837,1
1169281834,37906,1
1169281834,36834,1
1169281834,36832,-1
1169281834,36835,1
1169281834,36852,1
1169281834,36769,1
1169281834,36786,-1
1169281834,37904,1
1169281834,36839,-1
1169281834,36763,1
1169281834,36833,1
1169281834,37905,1
1169281834,36779,-1
1169281834,37901,1
1169281834,36886,-1
1169281834,1,1
1169281834,3,-1
1167471911,36837,1
1167471911,37903,1
1167471911,36834,1
1167471911,36786,5
1167471911,36765,5
1167471911,36896,5
1167471911,36844,-1
1167471911,36832,-1
1167471911,36839,-1
1167471911,37905,1
1167471911,37901,1
1167471911,37907,1
1167471911,2,-1
1167471744,36837,5
1167471744,37903,5
1167471744,36834,5
1167471744,36786,-1
1167471744,36765,-1
1167471744,36896,-1
1167471744,36844,-1
1167471744,36832,-1
1167471744,36839,-1
1167471744,37905,1
1167471744,37901,1
1167471744,2,-1
1167471744,3,-1
1168281245,37903,1
1168281245,36899,1
1168281245,36845,1
1168281245,36844,1
1168281245,36837,1
1168281245,37906,1
1168281245,36834,1
1168281245,36832,1
1168281245,36815,1
1168281245,36835,1
1168281245,36769,1
1168281245,36786,1
1168281245,37904,1
1168281245,36896,1
1168281245,36839,1
1168281245,36763,1
1168281245,36779,1
1168281245,36833,1
1168281245,37905,1
1168281245,37901,1
1168281245,36898,1
1168281245,37907,1
1168281245,36851,1
1168281245,36801,1
1168281245,36793,1
1168281245,36886,1
1168281245,1,1
1168281245,2,1
1168281245,3,1
1168281334,37903,1
1168281334,36899,1
1168281334,36845,1
1168281334,36844,1
1168281334,36837,1
1168281334,37906,1
1168281334,36834,1
1168281334,36832,1
1168281334,36815,1
1168281334,36835,1
1168281334,36769,1
1168281334,36786,1
1168281334,37904,1
1168281334,36896,1
1168281334,36839,1
1168281334,36763,1
1168281334,36779,1
1168281334,36833,1
1168281334,37905,1
1168281334,37901,1
1168281334,36898,1
1168281334,37907,1
1168281334,36851,1
1168281334,36801,1
1168281334,36793,1
1168281334,36886,1
1168281334,1,1
1168281334,2,1
1168281334,3,1
1168281322,37903,1
1168281322,36899,1
1168281322,36845,1
1168281322,36844,1
1168281322,36837,1
1168281322,37906,1
1168281322,36834,1
1168281322,36832,1
1168281322,36815,1
1168281322,36835,1
1168281322,36769,1
1168281322,36786,1
1168281322,37904,1
1168281322,36896,1
1168281322,36839,1
1168281322,36763,1
1168281322,36779,1
1168281322,36833,1
1168281322,37905,1
1168281322,37901,1
1168281322,36898,1
1168281322,37907,1
1168281322,36851,1
1168281322,36801,1
