id_proposicao_voz,id_tema
1865930,3
1865929,1
1996553,5
12112490,5
12148437,0
1946734,2
12078295,0
12153100,2
1585608,1
12124451,2
12121839,0
12121849,0
12164234,0
12165578,3
114493,1
1373327,2
13733272,2
13733273,1
12088351,3
1611966,5
11514014,1
11594910,1
1412728,0
120794,3
1267841,3
1270277,2
12080604,2
12122076,3
12156331,2
1544724,2
11672065,0
12122078,0
12123843,0
13733274,2
13733275,2
13733276,2
146249,0
1351362,1
12168064,1
117338,0
18659292,1
13733277,2
1603566,2
13733278,2
13733279,2
12183943,3
12190288,3
12190880,2
12190880,3
116526,2
116526,3
12188301,3
12190355,3
12192459,3
12179189,3
12201529,0
128692,1
12201532,0
12201532,1
12160860,3
12190237,0
12190237,3
1946494,3
12197160,3
12193540,2
1516111,3
12189858,3
12193696,3
2129807,1
2135603,3
2134910,3
2123903,3
2135983,3
2121353,3
2136173,3
2127414,3
2117839,3
2135064,3
2135079,3
2116081,3
2132847,3
2137178,3
2128634,3
2130029,3
2135594,3
